Date,Region,Type,Value,Lat,Lon
2024-04-22,CAN,sales_revenue,252.94,,
2024-04-22,CAN,sales_units,4.0,,
2024-04-22,US,sales_revenue,7191.18,,
2024-04-22,US,sales_units,98.0,,
2024-04-23,US,sales_revenue,7037.26,,
2024-04-23,US,sales_units,96.0,,
2024-04-24,CAN,sales_revenue,291.42,,
2024-04-24,CAN,sales_units,4.0,,
2024-04-24,US,sales_revenue,7259.76,,
2024-04-24,US,sales_units,102.0,,
2024-04-25,CAN,sales_revenue,290.12,,
2024-04-25,CAN,sales_units,4.0,,
2024-04-25,US,sales_revenue,5171.5,,
2024-04-25,US,sales_units,70.0,,
2024-04-26,CAN,sales_revenue,136.08,,
2024-04-26,CAN,sales_units,2.0,,
2024-04-26,US,sales_revenue,5981.2,,
2024-04-26,US,sales_units,94.0,,
2024-04-27,CAN,sales_revenue,539.54,,
2024-04-27,CAN,sales_units,8.0,,
2024-04-27,US,sales_revenue,7360.44,,
2024-04-27,US,sales_units,108.0,,
2024-04-28,CAN,sales_revenue,408.94,,
2024-04-28,CAN,sales_units,6.0,,
2024-04-28,US,sales_revenue,7403.2,,
2024-04-28,US,sales_units,104.0,,
2024-04-29,CAN,sales_revenue,457.98,,
2024-04-29,CAN,sales_units,6.0,,
2024-04-29,US,sales_revenue,6748.54,,
2024-04-29,US,sales_units,94.0,,
2024-04-30,CAN,sales_revenue,144.98,,
2024-04-30,CAN,sales_units,2.0,,
2024-04-30,US,sales_revenue,5639.08,,
2024-04-30,US,sales_units,82.0,,
2024-05-01,CAN,sales_revenue,135.64,,
2024-05-01,CAN,sales_units,2.0,,
2024-05-01,US,sales_revenue,6682.1,,
2024-05-01,US,sales_units,92.0,,
2024-05-02,CAN,sales_revenue,282.36,,
2024-05-02,CAN,sales_units,4.0,,
2024-05-02,US,sales_revenue,8900.06,,
2024-05-02,US,sales_units,122.0,,
2024-05-03,CAN,sales_revenue,384.4,,
2024-05-03,CAN,sales_units,6.0,,
2024-05-03,US,sales_revenue,7966.52,,
2024-05-03,US,sales_units,110.0,,
2024-05-04,CAN,sales_revenue,136.2,,
2024-05-04,CAN,sales_units,2.0,,
2024-05-04,US,sales_revenue,12123.04,,
2024-05-04,US,sales_units,166.0,,
2024-05-05,CAN,sales_revenue,617.1,,
2024-05-05,CAN,sales_units,8.0,,
2024-05-05,US,sales_revenue,19349.92,,
2024-05-05,US,sales_units,250.0,,
2024-05-06,CAN,sales_revenue,713.9,,
2024-05-06,CAN,sales_units,10.0,,
2024-05-06,US,sales_revenue,8860.56,,
2024-05-06,US,sales_units,118.0,,
2024-05-07,CAN,sales_revenue,135.56,,
2024-05-07,CAN,sales_units,2.0,,
2024-05-07,US,sales_revenue,12139.98,,
2024-05-07,US,sales_units,168.0,,
2024-05-08,CAN,sales_revenue,156.9,,
2024-05-08,CAN,sales_units,2.0,,
2024-05-08,US,sales_revenue,11938.66,,
2024-05-08,US,sales_units,166.0,,
2024-05-09,CAN,sales_revenue,136.1,,
2024-05-09,CAN,sales_units,2.0,,
2024-05-09,US,sales_revenue,7758.62,,
2024-05-09,US,sales_units,114.0,,
2024-05-10,CAN,sales_revenue,303.48,,
2024-05-10,CAN,sales_units,4.0,,
2024-05-10,US,sales_revenue,10730.14,,
2024-05-10,US,sales_units,156.0,,
2024-05-11,CAN,sales_revenue,145.96,,
2024-05-11,CAN,sales_units,2.0,,
2024-05-11,US,sales_revenue,7267.78,,
2024-05-11,US,sales_units,96.0,,
2024-05-12,CAN,sales_revenue,302.98,,
2024-05-12,CAN,sales_units,4.0,,
2024-05-12,US,sales_revenue,12786.0,,
2024-05-12,US,sales_units,176.0,,
2024-05-13,US,sales_revenue,11737.2,,
2024-05-13,US,sales_units,156.0,,
2024-05-14,CAN,sales_revenue,137.58,,
2024-05-14,CAN,sales_units,2.0,,
2024-05-14,US,sales_revenue,14572.18,,
2024-05-14,US,sales_units,208.0,,
