Date,Region,City,State,Lat,Lon,Umbrella_Revenue,Umbrella_Units,Non_Umbrella_Revenue,Non_Umbrella_Units,Observed_Precip_In,Is_Rainy,Verified_Match
2026-09-03,US,New York,New York,40.7143,-74.006,1801.26,88,0.0,0.0,0.4094488188976378,True,True
2026-09-03,US,Newark,Delaware,39.6837,-75.7497,24.76,0,0.0,0.0,0.6771653543307086,True,True
2026-09-03,US,Norman,Oklahoma,35.2226,-97.4395,26.37,0,0.0,0.0,0.0,False,False
2026-09-03,US,North Las Vegas,Nevada,36.1989,-115.1175,4.8,0,0.0,0.0,0.0,False,False
2026-09-03,US,Norwalk,Connecticut,41.1176,-73.4079,31.44,0,0.0,0.0,0.3385826771653543,True,True
2026-09-03,US,Oakland,California,37.8044,-122.2708,154.4,2,0.0,0.0,0.0,False,False
2026-09-03,US,Oklahoma City,Oklahoma,35.4676,-97.5164,53.14,0,0.0,0.0,0.0,False,False
2026-09-03,US,Olathe,Kansas,38.8814,-94.8191,26.69,0,0.0,0.0,0.0,False,False
2026-09-03,US,Omaha,Nebraska,41.2563,-95.9404,53.6,0,0.0,0.0,0.3464566929133859,True,True
2026-09-03,US,Orlando,Florida,28.5383,-81.3792,225.24,2,0.0,0.0,0.7125984251968505,True,True
2026-09-03,US,Overland Park,Kansas,38.9822,-94.6708,50.13,0,0.0,0.0,0.0,False,False
2026-09-03,US,Paducah,Kentucky,37.0834,-88.6,19.15,0,0.0,0.0,0.0,False,False
2026-09-03,US,Papillion,Nebraska,41.1544,-96.0422,8.57,0,0.0,0.0,0.3070866141732283,True,True
2026-09-03,US,Park City,Utah,40.6461,-111.498,16.78,0,0.0,0.0,0.0,False,False
2026-09-03,US,Philadelphia,Pennsylvania,39.9524,-75.1636,252.03,3,0.0,0.0,0.3385826771653543,True,True
2026-09-03,US,Phoenix,Arizona,33.4484,-112.074,106.10000000000001,0,0.0,0.0,0.0472440944881889,False,False
2026-09-03,US,Pittsburgh,Pennsylvania,40.4406,-79.9959,156.88,2,0.0,0.0,0.7283464566929134,True,True
2026-09-03,US,Plymouth,Michigan,42.3714,-83.4702,24.98,0,0.0,0.0,1.248031496062992,True,True
2026-09-03,US,Plymouth,Minnesota,45.0105,-93.4555,28.0,0,0.0,0.0,0.3070866141732283,True,True
2026-09-03,US,Portland,Maine,43.6574,-70.2589,20.99,0,0.0,0.0,0.7755905511811023,True,True
2026-09-03,US,Portland,Oregon,45.5234,-122.6762,235.97,3,0.0,0.0,0.6181102362204725,True,True
2026-09-03,US,Portsmouth,New Hampshire,43.077,-70.7577,11.97,0,0.0,0.0,0.1141732283464566,False,False
2026-09-03,US,Princeton,New Jersey,40.3487,-74.659,34.99,0,0.0,0.0,0.1299212598425196,False,False
2026-09-03,US,Providence,Rhode Island,41.824,-71.4128,34.089999999999996,0,0.0,0.0,0.34251968503937,True,True
2026-09-03,US,Raleigh,North Carolina,35.7721,-78.6386,155.34,0,0.0,0.0,0.0236220472440944,False,False
2026-09-03,US,Rapid City,South Dakota,44.0805,-103.231,7.33,0,0.0,0.0,0.0118110236220472,False,False
2026-09-03,US,Reading,Massachusetts,42.5256,-71.0953,219.36,15,0.0,0.0,0.2755905511811024,True,True
2026-09-03,US,Reno,Nevada,39.5296,-119.8138,45.6,0,0.0,0.0,0.0,False,False
2026-09-03,US,Richmond,Virginia,37.5538,-77.4603,108.62,0,0.0,0.0,0.0551181102362204,False,False
2026-09-03,US,Rock Springs,Wyoming,41.5875,-109.2029,7.5,0,0.0,0.0,0.0157480314960629,False,False
